"D06942" "D06943" "D06944" "D06945" "D06946" "D06947" "D06948" "D06949" "D06950" "D06951" "D06952" "D06953" "D06954" "D06955" "D06956" "D06957" "D06958" "D06959" "D06960" "D06961" "D06962" "D06963" "D06964" "D06965" "D06966" "D06967" "D06969" "D06970" "D06971" "D06973" "D06974" "D06975" "D06976" "D06977" "D06978" "D06979" "D06980" "D06981" "D06982" "D06987" "D06988" "D06989" "D06990" "D06991" "D06992" "D06993" "D06994" "D06995" "D06996" "D06997" "D06999" "D07000" "D07001" "D07002" "D07003" "D07028" "D07029" "D07030" "D07031" "D07032" "D07033" "D14276" "D14277" "D14278" "D14279" "D14280" "D14281" "D14285" "D14286" "D14287" "D14288" "D14289" "D14290" "D05808" "D05809" "D05810" "D05812" "D05813" "D05814" "D05815" "D05816" "D05817" "D05818" "D05819" "D05820" "D05830" "D05831" "D05832" "D05834" "D05835" "D05836" "D05838" "D05839" "D05844" "D05845" "D05846" "D12343" "D12344" "D12345" "D12346" "D12347" "D12348" "D12349" "D12350" "D12351" "D12352" "D12364" "D12365" "D12366" "D12367" "D12368" "D12369" "D12370" "D12371" "D12372" "D08180" "D08181" "D08182" "D08183" "D08184" "D08185" "D08186" "D08187" "D08188" "D08189" "D08190" "D08191" "D08192" "D08193" "D08194" "D08195" "D08196" "D08197" "D08198" "D00344" "D00345" "D00346" "D00347" "D00348" "D00349" "D00350" "D00351" "D00360" "D00361" "D00362" "D00363" "D00364" "D00365" "D00366" "D05494" "D05500" "D05501" "D05502" "D05503" "D05504" "D05506" "D05507" "D05508" "D05509" "D05510" "D05511" "D08036" "D08037" "D08038" "D08039" "D08040" "D08041" "D08042" "D08043" "D08044" "D08045" "D08046" "D08047" "D08048" "D08049" "D08053" "D08054" "D08056" "D08058" "D08060" "D08061" "D08066" "D08067" "D08068" "D08069" "D08072" "D08076" "D08077" "D08078" "D08079" "D08131" "D08133" "D08135" "D08138" "D08139" "D08140" "D08141" "D08146" "D08147" "D08149" "D11574" "D11575" "D11576" "D11577" "D11580" "D11581" "D11586" "D11587" "D11588" "D11589" "D11590" "D11591" "D13559" "D13560" "D13561" "D13562" "D13563" "D13564" "D13565" "D13566" "D13567" "D13568" "D13569" "D13570" "D13571" "D13572" "D13573" "D13575" "D13577" "D13579" "D13580" "D13581" "D13582" "D13583" "D13584" "D13586" "D13587" "D13588" "D13589" "D13591" "D13592" "D13594" "D13595" "D13596" "D13598" "D07526" "D07527" "D07528" "D07529" "D07530" "D07531" "D07532" "D07533" "D07534" "D07535" "D07536" "D07537" "D07538" "D07539" "D07540" "D07541" "D07542" "D07543" "D07544" "D07545" "D07546" "D07547" "D07548" "D07549" "D07550" "D07551" "D07552" "D14213" "D14214" "D14215" "D14216" "D14217" "D14218" "D14219" "D14220" "D14221" "D14222" "D14223" "D12373" "D12374" "D12375" "D12376" "D12377" "D12378" "D12379" "D12380" "D12381" "D12382" "D12383" "D12384" "D12385" "D12386" "D12387" "D12388" "D12389" "D12390" "D07441" "D07442" "D07443" "D07444" "D07445" "D07446" "D07447" "D07448" "D07449" "D07450" "D07451" "D07452" "D07453" "D07463" "D07464" "D07465" "D07466" "D07467" "D07468" "D07469" "D07470" "D07471" "D07472" "D07473" "D07474" "D07475" "D11592" "D11593" "D11594" "D11595" "D11597" "D11598" "D11599" "D11600" "D11601" "D11602" "D11603" "D13671" "D13673" "D13675" "D13677" "D13679" "D13681" "D13683" "D13685" "D13687" "D13689" "D13691" "D13693" "D13695" "D13697" "D13699" "D13701" "D13703" "D13705" "D13707" "D13708" "D13709" "D13710" "D13711" "D13712" "D13713" "D13714" "D13715" "D13716" "D13717" "D13718" "D13719" "D13720" "D13721" "D13722" "D13723" "D03235" "D03243" "D03244" "D03247" "D03248" "D03250" "D03251" "D03254" "D03259" "D03260" "D03261" "D03264" "D03266" "D03267" "D03270" "D03272" "D03273" "D03276" "D03279" "D03283" "D03284" "D03285" "D03286" "D03288" "D03289" "D03290" "D03291" "D03292" "D03296" "D03297" "D03298" "D03299" "D03301" "D03303" "D03307" "D03308" "D03310" "D03311" "D03312" "D03313" "D03316" "D03317" "D03319" "D03322" "D03324" "D03325" "D03332" "D03333" "D03335" "D03339" "D03343" "D03344" "D03346" "D03347" "D03354" "D03359" "D03364" "D03366" "D03367" "D03368" "D03369" "D03370" "D03372" "D04372" "D04373" "D04374" "D04375" "D04376" "D04377" "D04378" "D04379" "D04380" "D04381" "D04382" "D04383" "D04384" "D04385" "D04386" "D04387" "D04388" "D04389" "D04390" "D04391" "D04392" "D04393" "D04394" "D04395" "D04396" "D04397" "D04398" "D04410" "D04411" "D04412" "D04413" "D04414" "D04415" "D04416" "D04417" "D04418" "D04419" "D04420" "D04421" "D04422" "D04423" "D04424" "D04432" "D04433" "D04434" "D04435" "D04436" "D04437" "D04438" "D04439" "D04440" "D04441" "D04442" "D04443" "D12453" "D12454" "D12455" "D12456" "D12457" "D12458" "D12459" "D12460" "D12461" "D12462" "D12463" "D12464" "D12465" "D12466" "D12467" "D12468" "D12469" "D12470" "D12471" "D12472" "D12473" "D12474" "D12475" "D12476" "D08495" "D08497" "D08498" "D08499" "D08500" "D08501" "D08502" "D08503" "D08504" "D08512" "D08513" "D08518" "D08522" "D08523" "D08525" "D08526" "D08532" "D08533" "D08536" "D05619" "D05626" "D05630" "D05635" "D05641" "D05643" "D05647" "D05648" "D05651" "D05654" "D05655" "D05658" "D05659" "D05663" "D05670" "D05672" "D05673" "D05674" "D05675" "D05676" "D05677" "D14129" "D14132" "D14135" "D14136" "D14140" "D14144" "D14156" "D14160" "D14162" "D14163" "D14164" "D14166" "D05724" "D05725" "D05726" "D05727" "D05728" "D05729" "D05730" "D05731" "D05732" "D05733" "D05734" "D05735" "D05736" "D05737" "D05738" "D05739" "D05740" "D05742" "D05743" "D05745" "D05746" "D05747" "D05748" "D05750" "D05752" "D05753" "D05754" "D12481" "D12500" "D12507" "D12519" "D12547" "D12567" "D12571" "D12606" "D12609" "D12635" "D12656" "D12699" "D12722" "D12724" "D12726" "D12728" "D12730" "D12732" "D12734" "D12736" "D12738" "D12740" "D05933" "D05934" "D05935" "D05940" "D05941" "D05942" "D05944" "D05945" "D05953" "D05955" "D05957" "D05959" "D05961" "D05962" "D05963" "D05964" "D05965" "D05966" "D05967" "D05968" "D05969" "D05970" "D05971" "D05972" "D05973" "D05974" "D05975" "D05976" "D05977"
"Akkermansia" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 509 2161 2300 2046 495 213 202 216 94 423 79 0 52 62 0 0 0 109 0 3062 427 217 90 576 127 3629 218 1333 974 1352 443 332 58 116 102 0 0 41 0 0 0 0 0 0 0 0 0 10553 503 18075 8747 363 465 77 0 59 0 29 0 28 0 0 0 38 0 323 31 59 119 179 278 79 194 94 265 316 2481 321 247 206 112 306 244 341 60 229 615 141 74 229 255 282 197 349 0 48 0 19 0 62 293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29121 1716 0 105 0 0 32952 0 33 0 0 619 339 244 286 473 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 63 11 151 9 169 0 0 0 0 0 0 0 0 0 0 603 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 606 85 734 1631 0 361 5649 445 310 43 0 0 97 0 233 676 5045 0 0 0 0 0 0 0 0 0 50 74 101 36 0 0 0 0 0 255 80 0 45 416 528 0 13 0 302 0 47 78 14 13 88 0 0 0 0 0 0 0 0 0 62 12 371 673 35 514 0 0 0 0 0 0 0 0 0 0 0 0 2168 48 41 29 37 5820 9 177 154 4877 10744 8942 4897 9048 6133 1066 2719 374 2482 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteroides" 5 0 7 4 19 0 0 5 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 7 12 0 0 0 43 0 0 0 3 14 0 0 0 5 0 10 0 41 17 44 265 10 0 0 167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1499 2572 1047 54979 2013 1778 510 733 0 3302 0 0 0 0 0 352 837 851 0 3822 1556 1574 1559 6017 1744 3002 2852 3433 2959 2066 2483 1106 2413 1501 3476 2408 632 659 0 0 0 0 0 41844 0 152 0 0 25 0 765 61 592 1579 1834 721 2532 785 639 1196 998 814 1151 1004 1545 0 0 0 0 0 0 0 15 0 0 0 51 0 0 0 27 0 0 0 37 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 320 0 0 0 0 0 0 0 0 0 1412 4827 6755 70805 4950 4216 2564 1026 4210 25317 19564 4777 3650 0 505 452 168 3427 2417 0 0 0 0 16 0 261 456 147 1319 107 636 753 2291 2622 2200 2665 3505 1792 3264 4512 2348 3603 4706 2760 3137 300 299 1485 378 1056 634 2772 2623 3205 983 2391 1219 1119 1390 12 11 255 21 5 0 158 753 1302 787 0 2 0 0 0 5 0 0 0 0 0 0 14 2 0 0 5 0 5 0 0 0 0 18 0 0 0 0 0 130 0 37 165 5222 6369 2880 317 2308 6034 1910 35 3103 8262 32 10 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 111 0 84 14 0 7 25 11 7 45 0 8 6 0 9 0 0 0 47 103 30 120 10 183 0 2 0 6 21 47 26 0 46 0 0 45 0 0 37 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 34 0 772 0 0 0 0 0 66 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 917 1711 1445 2169 2331 988 2366 2000 523 502 1400 1175 986 1544 3694 197 0 348 18 593 469 0 154 29 63 43 599 3057 1775 2130 669 2689 290 367 566 4773 1517 1302 1867 33 211 0 280 293 184 731 29 33 274 192 0 108 743 644 215 406 612 740 348 466 385 19 771 221 490 601 234 367 572 1158 1641 0 22 227 0 39 0 435 0 36 0 0 252 0 82 37 42 69 0 9726 0 414 0 1897 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 112 0 0 0 0 97 0 0 0 0 127 0 0 0 0 0 0 0 0 7 0 0 0 203 0 0 52 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium_sensu_stricto_1" 4492 7951 2269 7924 7553 206 3221 7080 16403 0 3813 553 22 0 4969 35520 6258 464 59 195 22 9 28 8920 23 0 72 4356 708 4304 418 1600 28 276 38549 7102 98 716 114 4882 16578 6890 6008 47 1458 667 4741 286 9483 8343 18662 13453 1919 1750 503 7856 3215 13337 2814 190 24 135 72 73 63 155 317 457 837 66 1105 550 600 0 0 81 0 873 0 0 11 43 0 0 0 0 14 0 0 16 0 0 0 0 0 0 668 221 802 193 0 544 3456 3480 581 2295 203 0 141 189 172 0 2009 0 148 59 48 37 215 40 45 31 51 47 47 259 1023 0 0 35 31 31 14 0 5451 22911 8771 6480 8065 2962 0 6715 6026 3004 9290 0 32478 358 7997 64 70 0 0 0 0 0 0 63 0 0 0 38 0 0 0 0 14 0 37 0 0 0 24 41 0 1517 6044 244 1069 1481 349 2107 1791 478 289 762 0 25 0 108 0 16 0 0 16 0 0 0 14 0 1605 232 4352 1047 12167 1983 1864 723 506 4799 3522 2501 0 5176 1289 4644 36 38867 202 1747 648 342 0 9190 2147 4225 389 0 0 0 0 0 836 951 1479 405 35 219 150 136 2625 225 24 70 153 38 13 9 21 18 60 15 26 53 10 0 27 162 0 0 25 8 0 17 0 0 67 7 0 22 6 0 1615 1795 550 2284 1118 1159 23 565 1917 17 174 353 191 317 293 211 472 2 79 140 594 472 646 719 0 0 4 0 0 1325 7455 0 0 9011 6296 0 5118 0 0 167 43 7569 531 213 1259 336 4682 931 334 2208 2374 376 810 1205 768 0 0 0 794 0 13314 17266 8563 20263 19556 4689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1041 81 346 463 120 0 0 8 24 7 0 0 0 12 209 8 173 9 86 0 16 10 9 53 0 0 0 0 0 7 139 0 0 0 15 65 27 0 0 0 0 0 0 5466 19546 7769 8754 3790 1289 25739 5186 14041 17300 13338 39369 14996 16418 14576 49638 14693 20284 14592 5806 7727 2358 28870 326 2324 0 2324 6318 3163 10537 7386 4223 0 35568 8638 13218 10683 14583 12129 8329 24039 6919 6813 7051 7442 47893 12567 5239 9377 22246 21965 11302 35959 12559 7063 43058 27819 10552 28063 27535 0 0 0 0 6 22 272 0 846 121 17 14 0 79 281 0 27 1749 184 19 120 167 0 2047 0 0 0 0 0 0 0 254 0 207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0
"Escherichia-Shigella" 20923 12830 4851 10949 8839 1445 15339 13958 834 0 45 0 0 0 96 150 19 0 0 0 0 0 0 1681 0 0 6360 2154 11532 1974 182 5330 14306 1554 910 9836 18 5142 590 9751 6367 3268 5423 1186 71 24116 13349 1815 1123 16358 7965 8644 92 22864 11122 23402 6480 9911 9786 170 357 0 0 0 187 234 0 7 140 0 0 88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 99 151 265 0 0 117 0 0 0 179 0 0 0 0 165 2307 182 736 132 0 12 45 939 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 583 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 883 0 0 0 0 0 0 0 0 23 0 0 1100 665 189 72 0 0 2156 481 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 222 0 0 73 0 32 15 12 39 434 6 47 38 9 41 0 0 148 9 36 0 0 0 0 0 0 0 47 2156 2061 256 57 67 10 0 24 2980 184 13 0 7 14 5 0 33 0 62 29 0 66 506 33 0 0 19 0 0 0 1414 0 0 2772 0 0 22 92 0 558 3645 113 524 523 596 2563 263 569 5930 7290 1459 703 965 70 0 0 0 594 4317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 17 0 0 0 0 0 0 19 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 151 0 0 0 121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 814 0 0 0 0 0 0 0 0 0 277 63 0 0 0 0 0 0 0 0 0 0 0 41 0 0 250 90 345 614 68 0 0 35 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 258 297 6574 900 22889 660 91 110 45964 2214 1112 1158 4738 972 14761 1217 1559 3526 382 530 71 1152 0 979 0 168 15 1703 200 89 233 838 17 0 0 0 0 0 255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 0 0 0 359 110 1214 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 16 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomonas" 8 6 8 10 5 0 3 82 33 8747 251 6925 17714 11836 20057 9812 16526 14209 5612 1776 876 4239 3962 71 4914 5466 11340 22414 11023 20989 23013 20427 2136 8536 3211 3750 120 31392 9864 0 0 0 0 5 0 0 71 0 70 0 19 19 32 62 0 214 13 0 0 6346 7336 4 0 609 0 0 0 25 0 0 0 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1596 0 0 0 3786 0 0 0 0 0 65 437 0 0 0 0 0 0 15 13 0 0 0 0 0 0 0 0 0 0 0 0 0 5934 0 93 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 379 122 0 0 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 19 1391 24 282 259 0 0 0 0 0 0 0 0 0 76 0 0 8 5 0 0 0 31 20 0 0 54 195 5 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 522 113 0 417 505 399 399 27 0 31 0 0 0 0 7 0 0 0 37 0 0 0 9 23150 27770 0 983 2861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 180 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 414 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 23 0 12 2068 4910 1010 1495 1017 0 0 0 147 0 27 51 16 13 0 0 0 9 16 15 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82 124 1622 0 0 86 259 292 220 0 0 120 1519 65 65 16952 0 190 0 0 0 0 0 464 220 0 353 0 1364 0 291 401 0 263 0 0 0 0 0 0 0 0 0 0 0 0 0 152 0 0 887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 69 0 0 0 0 0 0 0 0
"Streptococcus" 821 4427 8621 3877 1210 39934 4047 4219 3923 0 7 7 0 0 21 12075 12 411 0 0 0 0 0 13057 0 0 1009 48 0 52 0 0 0 0 258 0 0 0 0 3307 19676 12819 13459 15839 23279 6881 8589 32753 24723 6122 4536 4336 25167 10987 14616 7896 11560 2904 10891 701 6344 0 0 0 0 0 0 0 116 0 8 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 678 110 0 0 405 0 137 0 0 0 0 0 0 0 0 0 0 0 0 157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 158 1311 980 1221 455 149 9414 188 1180 796 999 0 0 0 0 0 46 32 10 0 0 0 12 117 105 0 2059 1423 819 724 0 0 0 0 0 781 0 0 168 65 378 170 0 307 43 147 152 1909 282 0 335 0 0 0 0 0 0 0 0 0 91 18 60 0 1869 251 6708 580 809 24 0 0 6 26 9 0 38 0 0 0 173 0 64 122 0 72 21 0 0 42 0 59 0 7 40 17 8 5590 5602 1651 5822 3790 0 0 4 0 0 0 1146 2258 4639 3869 1572 5957 1797 4493 4092 27 58 30 21 2 0 1187 12 0 24 764 0 0 3337 0 0 510 308 0 280 0 36 183 0 0 28 0 0 0 37 629 0 0 50 50 0 0 0 0 0 0 0 0 457 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 16 24 94 40 17 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 31 113 0 0 134 19 0 0 0 0 0 710 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Terrisporobacter" 663 0 16 226 825 4 13 26 2659 0 36 0 0 0 109 2157 113 0 0 12 0 0 0 6 0 0 0 74 0 38 20 106 0 0 738 128 0 24 0 127 295 24 250 0 0 0 361 37 22 201 3147 53 17 68 0 15 28 980 12 5 0 21 24 0 19 26 13 77 185 26 60 73 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 180 0 209 0 0 0 0 316 0 0 223 0 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 19 0 0 0 0 726 4907 1321 679 880 1050 398 2857 883 1152 778 0 1308 412 665 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 274 174 186 0 2169 0 163 42 27 0 804 199 249 494 0 0 0 0 0 780 985 1113 115 24 161 0 395 675 199 20 0 538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 111 148 98 13 9 0 4 0 23 2 17 951 387 517 145 285 768 22 57 162 16 0 13 202 8 0 17 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 43 15 12 205 72 67 31 15 0 45 68 0 0 0 0 0 0 0 0 606 1475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 24 0 0 0 0 0 0 88 908 383 746 131 1098 25 125 2078 311 2786 1579 1821 484 1900 734 46 2271 35 276 0 13 0 14 344 2641 244 878 1663 2435 576 2 163 1292 443 748 926 1125 1128 267 1681 2726 366 439 302 806 295 326 2415 402 714 672 1694 220 340 511 504 1018 2023 1174 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 18 0 0
